"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","p_adj"
"set",TRUE,0.0267546042807367,3,5,3,0.6,1,"GO:0120254","GO:BP","olefinic compound metabolic process",42,19320,"GO:0008152",0.0267546042807367
"set",TRUE,0.0267546042807367,3,5,3,0.6,1,"GO:0034650","GO:BP","cortisol metabolic process",42,8642,"GO:0008211,GO:0034308,GO:0042180,GO:0120254,GO:1902644",0.0267546042807367
"set",TRUE,0.0267546042807367,3,5,3,0.6,1,"GO:0034308","GO:BP","primary alcohol metabolic process",42,8499,"GO:0006066",0.0267546042807367
"set",TRUE,0.0267546042807367,3,5,3,0.6,1,"GO:1902644","GO:BP","tertiary alcohol metabolic process",42,22108,"GO:0006066",0.0267546042807367
"set",TRUE,0.0267546042807367,3,5,3,0.6,1,"GO:0008211","GO:BP","glucocorticoid metabolic process",42,3124,"GO:0008202",0.0267546042807367
"set",TRUE,0.0267546042807367,11,5,5,1,0.454545454545455,"GO:0003013","GO:BP","circulatory system process",42,1462,"GO:0003008",0.0267546042807367
"set",TRUE,0.0267546042807367,10,5,5,1,0.5,"GO:0008015","GO:BP","blood circulation",42,3082,"GO:0003013",0.0267546042807367
"set",TRUE,0.0454017527188259,2,5,2,0.4,1,"GO:0008212","GO:BP","mineralocorticoid metabolic process",42,3125,"GO:0008202,GO:0042445",0.0454017527188259
"set",TRUE,0.0454017527188259,2,5,2,0.4,1,"GO:0099624","GO:BP","atrial cardiac muscle cell membrane repolarization",42,18918,"GO:0099622",0.0454017527188259
"set",TRUE,0.0454017527188259,2,5,2,0.4,1,"GO:0099622","GO:BP","cardiac muscle cell membrane repolarization",42,18916,"GO:0086009",0.0454017527188259
"set",TRUE,0.0454017527188259,2,5,2,0.4,1,"GO:0034651","GO:BP","cortisol biosynthetic process",42,8643,"GO:0006704,GO:0034309,GO:0034650,GO:0042181,GO:0120255,GO:1902645",0.0454017527188259
"set",TRUE,0.0454017527188259,2,5,2,0.4,1,"GO:0030048","GO:BP","actin filament-based movement",42,6634,"GO:0030029",0.0454017527188259
"set",TRUE,0.0454017527188259,5,5,3,0.6,0.6,"GO:0008202","GO:BP","steroid metabolic process",42,3115,"GO:0006629",0.0454017527188259
"set",TRUE,0.0454017527188259,2,5,2,0.4,1,"GO:0032341","GO:BP","aldosterone metabolic process",42,7447,"GO:0006081,GO:0008207,GO:0008212,GO:0034308,GO:0042180,GO:0120254",0.0454017527188259
"set",TRUE,0.0454017527188259,2,5,2,0.4,1,"GO:0032342","GO:BP","aldosterone biosynthetic process",42,7448,"GO:0006700,GO:0006705,GO:0032341,GO:0034309,GO:0042181,GO:0046184,GO:0120255",0.0454017527188259
"set",TRUE,0.0454017527188259,2,5,2,0.4,1,"GO:0061337","GO:BP","cardiac conduction",42,15203,"GO:0008016",0.0454017527188259
"set",TRUE,0.0454017527188259,2,5,2,0.4,1,"GO:0120178","GO:BP","steroid hormone biosynthetic process",42,19276,"GO:0006694",0.0454017527188259
"set",TRUE,0.0454017527188259,2,5,2,0.4,1,"GO:0034309","GO:BP","primary alcohol biosynthetic process",42,8500,"GO:0034308,GO:0046165",0.0454017527188259
"set",TRUE,0.0454017527188259,2,5,2,0.4,1,"GO:0008016","GO:BP","regulation of heart contraction",42,3083,"GO:0060047,GO:1903522",0.0454017527188259
"set",TRUE,0.0454017527188259,2,5,2,0.4,1,"GO:0008207","GO:BP","C21-steroid hormone metabolic process",42,3120,"GO:0008202,GO:0042445",0.0454017527188259
"set",TRUE,0.0454017527188259,2,5,2,0.4,1,"GO:0001508","GO:BP","action potential",42,321,"GO:0042391",0.0454017527188259
"set",TRUE,0.0454017527188259,4,5,3,0.6,0.75,"GO:0042180","GO:BP","ketone metabolic process",42,9916,"GO:0008152",0.0454017527188259
"set",TRUE,0.0454017527188259,2,5,2,0.4,1,"GO:0060048","GO:BP","cardiac muscle contraction",42,14104,"GO:0006941,GO:0060047",0.0454017527188259
"set",TRUE,0.0454017527188259,2,5,2,0.4,1,"GO:0060047","GO:BP","heart contraction",42,14103,"GO:0003015,GO:0008015",0.0454017527188259
"set",TRUE,0.0454017527188259,2,5,2,0.4,1,"GO:0070252","GO:BP","actin-mediated cell contraction",42,15796,"GO:0030048",0.0454017527188259
